,index,close,predictions,%error,Inc/Dec
262,262,0.184374944,0.26985443,31.67614713,-1
263,263,0.178887983,0.26344487,32.0966154,-1
264,264,0.170031785,0.22222787,23.4876414,-1
265,265,0.16956589,0.20950818,19.06478788,-1
266,266,0.17050795,0.2390877,28.68393057,-1
267,267,0.186561471,0.22892135,18.50411887,-1
268,268,0.185854389,0.2356149,21.11942449,-1
269,269,0.192008693,0.2327156,17.49212664,-1
270,270,0.210728498,0.2950188,28.57116296,-1
271,271,0.212335753,0.2713603,21.75135676,-1
272,272,0.20994865,0.2713603,22.63103703,-1
273,273,0.19737375,0.26960793,26.79230527,-1
274,274,0.182081382,0.26489046,31.26163087,-1
275,275,0.170969146,0.20130736,15.07059348,-1
276,276,0.186231743,0.19771826,5.809537524,-1
277,277,0.192381147,0.19804251,2.858660666,-1
278,278,0.196959241,0.2630461,25.12367939,-1
279,279,0.203042356,0.29176217,30.40826491,-1
280,280,0.195979993,0.29499257,33.56443093,-1
281,281,0.225302708,0.29674494,24.07529917,-1
282,282,0.240833108,0.30362767,20.68143578,-1
283,283,0.238123091,0.30166355,21.0633532,-1
284,284,0.23696995,0.27800506,14.76056229,-1
285,285,0.229242928,0.27800506,17.54001594,-1
286,286,0.224955393,0.28986177,22.39218271,-1
287,287,0.227424559,0.30760026,26.0649004,-1
288,288,0.20598752,0.29176217,29.39882517,-1
289,289,0.203891916,0.30338973,32.79537983,-1
290,290,0.232947398,0.30835015,24.45361274,-1
291,291,0.248642663,0.3162704,21.3828854,-1
292,292,0.247968104,0.31647834,21.64768569,-1
293,293,0.245417479,0.31623536,22.39404243,-1
294,294,0.239930284,0.31623536,24.1292043,-1
295,295,0.239540243,0.32047343,25.2542582,-1
296,296,0.233764837,0.33789802,30.81793217,-1
297,297,0.231503195,0.33413064,30.71476632,-1
298,298,0.22779906,0.32966942,30.9007611,-1
299,299,0.23911261,0.3276066,27.01227325,-1
300,300,0.233475486,0.32739866,28.68770859,-1
301,301,0.237163477,0.3272006,27.51740765,-1
302,302,0.248051509,0.3304991,24.94638897,-1
303,303,0.236964613,0.3195788,25.85095965,-1
304,304,0.250425656,0.3181606,21.28954482,-1
